dateIDd,Weekday,Holiday,Duration,Volume
20171016,1,0,657.112539556962,15168
20171017,1,0,671.2584276463112,16523
20171018,1,0,711.9957124183006,19125
20171019,1,0,721.3530997304582,19292
20171020,1,0,720.5262651334785,19741
20171021,0,0,827.2303765539607,16651
20171022,0,0,830.6661700975081,14768
20171023,1,0,740.1033405172413,18560
20171024,1,0,630.966013712047,10210
20171025,1,0,704.4174180545242,18854
20171026,1,0,629.8990466462377,11748
20171027,1,0,685.4436927498055,16703
20171028,0,0,807.6905465288036,14894
20171029,0,0,652.6957399926551,5446
20171030,1,0,607.9259529454678,10966
20171031,1,0,654.9659048886916,13521
20171101,1,0,647.1190383568039,12853
20171102,1,0,591.9567409334851,6149
20171103,1,0,647.0815626021575,12236
20171104,0,0,700.3427331887202,9220
20171105,0,0,565.5975948196115,4324
20171106,1,0,624.066172221152,10382
20171107,1,0,631.4463507867366,11249
20171108,1,0,625.6848928476938,11339
20171109,1,0,627.2326178682811,10902
20171110,1,0,545.1537138389367,6395
20171111,0,0,579.6744833068362,5032
20171112,0,0,634.9636544190665,5035
20171113,1,0,594.0305295950155,8025
20171114,1,0,607.7335461149021,9086
20171115,1,0,629.5565707000956,9413
20180410,1,0,604.0541095890411,2920
20180411,1,0,686.5038751228032,9161
20180412,1,0,674.9088930009797,9187
20180413,1,0,688.0757263972343,12149
20180414,0,0,624.1340585261223,6527
20180415,0,0,556.9982653946228,3459
20180416,1,0,538.9681353265146,2542
20180417,1,0,589.144204851752,5936
20180418,1,0,607.4651395529856,8993
20180419,1,0,626.957769459641,10419
20180420,1,0,650.7157163624616,12382
20180421,0,0,841.3417317708333,15360
20180422,0,0,915.8400478182905,16730
20180423,1,0,807.310467327129,19986
20180424,1,0,805.0874797187669,22188
20180425,1,0,618.4558690890349,7761
20180426,1,0,594.3860103626943,6948
20180427,1,0,745.5469419354839,19375
20180428,0,0,820.1359776807375,16488
20180429,0,0,636.8122688710029,4597
20180430,1,0,664.1335938887902,11258
20180501,1,0,800.6036618691929,21956
20180502,1,0,791.7624768548421,23223
20180503,1,0,702.24371357867,12527
20180504,1,0,728.0122195642335,15467
20180505,0,0,920.4998512600399,23531
20180506,0,0,915.8167418812494,22602
20180507,1,0,810.9851732540371,24213
20180508,1,0,853.5975816789661,28863
20180509,1,0,868.0577521845391,29869
20180510,1,0,759.3770741150443,21696
20180511,1,0,769.3967098619993,23768
20180512,0,0,891.7089256865913,24760
20180513,0,0,926.9746503496503,22880
20180514,1,0,846.4496756796152,27442
20180515,1,0,757.053140995812,21490
20180516,1,0,812.487238016186,28914
20180517,1,0,783.900143440362,27189
20180518,1,0,807.5351944384097,27618
20180519,0,0,802.0554468362687,13797
20180520,0,0,923.5170927612891,20418
20180521,1,1,942.529879831114,24632
20180522,1,0,739.3511158966327,20432
20180523,1,0,789.8392241529408,28717
20180524,1,0,804.8625708696661,30161
20180525,1,0,817.1608001083057,29546
20180526,0,0,873.7751044204664,22984
20180527,0,0,902.1913125745547,24311
