,dateIDd,Weekday,Holiday,Duration,Volume,dateIDd,Weekday,Holiday,Duration,Volume
234,20180429,0,0,636.8122688710029,4597,20180429,0,0,636.8122688710029,4597
235,20180430,1,0,664.1335938887903,11258,20180430,1,0,664.1335938887903,11258
236,20180501,1,0,800.6036618691928,21956,20180501,1,0,800.6036618691928,21956
237,20180502,1,0,791.762476854842,23223,20180502,1,0,791.762476854842,23223
238,20180503,1,0,702.24371357867,12527,20180503,1,0,702.24371357867,12527
239,20180504,1,0,728.0122195642335,15467,20180504,1,0,728.0122195642335,15467
240,20180505,0,0,920.49985126004,23531,20180505,0,0,920.49985126004,23531
241,20180506,0,0,915.8167418812494,22602,20180506,0,0,915.8167418812494,22602
242,20180507,1,0,810.9851732540371,24213,20180507,1,0,810.9851732540371,24213
243,20180508,1,0,853.5975816789661,28863,20180508,1,0,853.5975816789661,28863
244,20180509,1,0,868.0577521845391,29869,20180509,1,0,868.0577521845391,29869
245,20180510,1,0,759.3770741150443,21696,20180510,1,0,759.3770741150443,21696
246,20180511,1,0,769.3967098619992,23768,20180511,1,0,769.3967098619992,23768
247,20180512,0,0,891.7089256865912,24760,20180512,0,0,891.7089256865912,24760
248,20180513,0,0,926.9746503496505,22880,20180513,0,0,926.9746503496505,22880
249,20180514,1,0,846.4496756796153,27442,20180514,1,0,846.4496756796153,27442
250,20180515,1,0,757.0531409958121,21490,20180515,1,0,757.0531409958121,21490
251,20180516,1,0,812.4872380161861,28914,20180516,1,0,812.4872380161861,28914
252,20180517,1,0,783.900143440362,27189,20180517,1,0,783.900143440362,27189
253,20180518,1,0,807.5351944384097,27618,20180518,1,0,807.5351944384097,27618
254,20180519,0,0,802.0554468362687,13797,20180519,0,0,802.0554468362687,13797
255,20180520,0,0,923.5170927612892,20418,20180520,0,0,923.5170927612892,20418
256,20180521,1,1,942.529879831114,24632,20180521,1,1,942.529879831114,24632
257,20180522,1,0,739.3511158966327,20432,20180522,1,0,739.3511158966327,20432
258,20180523,1,0,789.8392241529407,28717,20180523,1,0,789.8392241529407,28717
259,20180524,1,0,804.8625708696661,30161,20180524,1,0,804.8625708696661,30161
260,20180525,1,0,817.1608001083058,29546,20180525,1,0,817.1608001083058,29546
261,20180526,0,0,873.7751044204663,22984,20180526,0,0,873.7751044204663,22984
262,20180527,0,0,902.1913125745548,24311,20180527,0,0,902.1913125745548,24311
263,20180528,1,0,779.9106296024984,25937,20180528,1,0,779.9106296024984,25937
264,20180529,1,0,836.8117478159936,32738,20180529,1,0,836.8117478159936,32738
265,20180530,1,0,827.6335956106237,33171,20180530,1,0,827.6335956106237,33171
266,20180531,1,0,813.8092105263157,32072,20180531,1,0,813.8092105263157,32072
267,20180601,1,0,813.3647411807492,32996,20180601,1,0,813.3647411807492,32996
268,20180602,0,0,922.520277100553,33634,20180602,0,0,922.520277100553,33634
269,20180603,0,0,934.0932707562137,30256,20180603,0,0,934.0932707562137,30256
270,20180604,1,0,623.9757497656982,8536,20180604,1,0,623.9757497656982,8536
271,20180605,1,0,754.8937410155795,25739,20180605,1,0,754.8937410155795,25739
272,20180606,1,0,779.3671875,28800,20180606,1,0,779.3671875,28800
273,20180607,1,0,803.5,31000,20180607,1,0,803.5,31000
274,20180608,1,0,829.054803204057,34706,20180608,1,0,829.054803204057,34706
275,20180609,0,0,927.093921667607,33677,20180609,0,0,927.093921667607,33677
276,20180610,0,0,918.2656084281977,28286,20180610,0,0,918.2656084281977,28286
277,20180611,1,0,843.8532539480387,31408,20180611,1,0,843.8532539480387,31408
278,20180612,1,0,827.2568873633818,33213,20180612,1,0,827.2568873633818,33213
279,20180613,1,0,753.1405462629684,23615,20180613,1,0,753.1405462629684,23615
280,20180614,1,0,682.4547343741674,18767,20180614,1,0,682.4547343741674,18767
281,20180615,1,0,808.8794483585671,33355,20180615,1,0,808.8794483585671,33355
282,20180616,0,0,887.5325015353784,30937,20180616,0,0,887.5325015353784,30937
283,20180617,0,0,881.7579011499506,26262,20180617,0,0,881.7579011499506,26262
284,20180618,1,0,734.3091467511277,20838,20180618,1,0,734.3091467511277,20838
285,20180619,1,0,825.2674178460791,32926,20180619,1,0,825.2674178460791,32926
286,20180620,1,0,794.2885084734111,29091,20180620,1,0,794.2885084734111,29091
287,20180621,1,0,802.9683482605252,32826,20180621,1,0,802.9683482605252,32826
288,20180622,1,0,827.8346064635845,32335,20180622,1,0,827.8346064635845,32335
289,20180623,0,0,808.2360750801158,19659,20180623,0,0,808.2360750801158,19659
290,20180624,0,1,937.4278834280068,16196,20180624,0,1,937.4278834280068,16196
291,20180625,1,1,899.7439462068396,24241,20180625,1,1,899.7439462068396,24241
292,20180626,1,0,810.9605437344612,30971,20180626,1,0,810.9605437344612,30971
293,20180627,1,0,784.078798242967,29823,20180627,1,0,784.078798242967,29823
