dateIDh,Weekday,Holiday,Duration,Volume
2017041711,1,1,884.8676171079429,491
2017041712,1,1,802.529284164859,461
2017041713,1,1,792.1036363636364,550
2017041714,1,1,936.0289256198347,484
2017041715,1,1,764.128664495114,614
2017041716,1,1,768.3709198813057,674
2017041717,1,1,736.0012239902081,817
2017041718,1,1,673.1517857142857,560
2017041719,1,1,589.6995192307693,416
2017041720,1,1,629.7519685039371,254
2017041721,1,1,655.1688888888889,225
2017041722,1,1,617.8385093167702,161
2017041723,1,1,583.1181818181818,110
2017041800,1,0,586.4050632911392,79
2017041801,1,0,736.7,20
2017041802,1,0,649.2857142857143,14
2017041803,1,0,638.8,15
2017041804,1,0,774.5384615384615,13
2017041805,1,0,644.7037037037037,27
2017041806,1,0,806.1806451612903,155
2017041807,1,0,846.8032520325203,615
2017041808,1,0,784.9891846921797,1202
2017041809,1,0,716.3203732503888,643
2017041810,1,0,814.002493765586,401
2017041811,1,0,758.234273318872,461
2017041812,1,0,710.2549019607843,612
2017041813,1,0,791.9187396351575,603
2017041814,1,0,832.105719237435,577
2017041815,1,0,844.5818965517242,696
2017041816,1,0,851.964252116651,1063
2017041817,1,0,790.3175631885937,1543
2017041818,1,0,733.1274261603376,1185
2017041819,1,0,710.0055865921788,716
2017041820,1,0,651.5171624713959,437
2017041821,1,0,626.1157270029673,337
2017041822,1,0,602.8142857142857,350
2017041823,1,0,615.5496688741722,151
2017041900,1,0,608.3416666666667,120
2017041901,1,0,553.5483870967741,31
2017041902,1,0,917.88,25
2017041903,1,0,858.0,21
2017041904,1,0,665.4545454545455,11
2017041905,1,0,830.4047619047619,42
2017041906,1,0,754.2052631578947,190
2017041907,1,0,854.0320232896652,687
2017041908,1,0,781.6905294556301,1341
2017041909,1,0,664.6089030206678,629
2017041910,1,0,692.9422492401216,329
2017041911,1,0,633.2587064676617,402
2017041912,1,0,561.7558139534884,430
2017041913,1,0,471.46153846153845,195
2017041914,1,0,446.29487179487177,78
2017041915,1,0,518.3076923076923,91
2017041916,1,0,627.8571428571429,112
2017041917,1,0,544.6217228464419,267
2017041918,1,0,570.9302325581396,301
2017041919,1,0,500.3142857142857,175
2017041920,1,0,498.51851851851853,135
2017041921,1,0,584.3076923076923,130
2017041922,1,0,531.4516129032259,124
2017041923,1,0,559.8148148148148,108
2017042000,1,0,576.3283582089553,67
2017042001,1,0,467.87179487179486,39
2017042002,1,0,651.15625,32
2017042003,1,0,623.6470588235294,17
2017042004,1,0,591.3636363636364,11
2017042005,1,0,758.2222222222222,36
2017042006,1,0,787.8674698795181,166
2017042007,1,0,806.4886535552193,661
2017042008,1,0,743.1541774332472,1161
2017042009,1,0,676.6655348047539,589
2017042010,1,0,755.405572755418,323
2017042011,1,0,671.9544303797468,395
2017042012,1,0,609.5190380761524,499
2017042013,1,0,680.8577319587629,485
2017042014,1,0,768.781052631579,475
2017042015,1,0,777.4959083469722,611
2017042016,1,0,810.0570264765784,982
2017042017,1,0,719.4641833810888,1396
2017042018,1,0,733.0224215246636,1115
2017042019,1,0,682.5457413249211,634
2017042020,1,0,648.4474789915967,476
2017042021,1,0,709.5960591133005,406
2017042022,1,0,641.4620535714286,448
2017042023,1,0,649.7661691542288,201
2017042100,1,0,648.1292517006802,147
2017042101,1,0,664.3134328358209,67
2017042102,1,0,804.5,46
2017042103,1,0,873.5333333333333,30
